hidden_layer_sizes,lambda_reg,activation,initialization_mode,avg_val_mape,avg_val_reg_error,avg_initial_loss,avg_final_loss,avg_initial_train_mape,avg_final_train_mape,avg_iterations,avg_optimization_time_seconds,success_rate,unique_messages
"[128, 64, 32, 16]",0.001,tanh,xavier,23.921885998812368,102.87695233747334,1677.9052136120258,102.17630267382415,100.3342013085306,23.833568416387884,56.6,26.538820695877074,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.001,swish,he,23.320286886838225,97.98400922546807,1675.3507420292765,97.93119759385728,99.99930843046,23.30622674729919,51.4,35.28925762176514,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.001,swish,xavier,23.432450925782582,98.38964333034366,1676.6990528252645,98.37734484681731,99.95660642421504,23.424897636935412,28.6,19.098648881912233,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.01,relu,he,23.373727889649455,102.3086037484448,1721.8336154331107,102.10166720109439,101.91588368556181,23.342151038737786,41.0,22.11666884422302,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.01,relu,xavier,23.338868249556,99.46585794846085,1682.2248617531961,99.1803831115216,100.19465549074283,23.30169247633216,43.2,23.470262384414674,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.01,tanh,he,24.152346157955506,122.50435673903704,1691.205029787107,121.9763299023811,99.48994182098845,24.084452229432426,38.2,17.10572757720947,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.01,tanh,xavier,23.757564705411628,112.56956715584155,1677.5566932095505,112.43923600307713,99.56975302369833,23.757402823698072,72.0,29.056123447418212,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.01,swish,he,23.40511944571103,103.41432767143719,1699.1593417055024,103.36619183130117,100.24790986985458,23.401453843991497,44.0,33.78219122886658,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.01,swish,xavier,23.399550576680298,101.10977836961274,1678.799569394389,101.05949084753588,100.04357646528452,23.39232573361148,28.0,18.635006618499755,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.1,relu,he,23.603581980250894,144.00289699047633,1662.6876253065905,143.5304531711767,97.8205694215739,23.57852392359457,37.4,21.624347496032716,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
"[128, 64, 32, 16]",0.1,relu,xavier,23.387562230762708,118.57484744959682,1696.9300571328727,118.450313514613,99.9358861209436,23.36511968479902,33.6,17.32225556373596,100.0,['CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH']
